ensembl,symbol,BULK1,BULK2,BULK3,BULK4,BULK5,BULK6,HL60,K562,SUDHL4,THP1
ENSG00000227232,WASH7P,4.759588606,8.732877886,4.57141877,3.934115406,6.633421291,9.584409798,7.96117863,3.600165462,2.515328901,8.815508873
ENSG00000238009,LOC100996442,0.586424957,0.138617109,0.947530436,0,0.293514216,0.782087839,0,1.793023583,0,0
ENSG00000237683,---,0.613700537,0.772295323,1.379737302,0,2.367681346,2.438273853,0.55309241,2.35775542,0,0.076390891
ENSG00000241860,---,0.150015687,0,0.049870023,0,0,0.076675278,0,0.07059148,0.128520455,0
ENSG00000228463,RPL23AP21,2.250235301,1.366368649,2.210904351,0.057016165,4.911471222,5.351934431,0.318447145,8.28743971,0,0.076390891
ENSG00000237094,---,0.122740107,0.059407333,0.049870023,0,0.254378988,0.168685612,0,0.155301255,0.055080195,0
ENSG00000225972,MTND1P23,2.195684142,33.44632823,1.545970711,4.390244728,2.954709779,1.824871625,2.162088512,0.522376949,3.32317176,3.070913836
ENSG00000225630,MTND2P28,662.1556034,656.7876663,610.9244045,886.0122034,889.0936968,602.6830231,57.70597479,30.93318638,69.89676734,2389.247356
ENSG00000237973,MTCO1P12,153.5751498,105.6460397,133.5020514,163.2372813,156.0908603,85.73829629,218.8067095,130.1565702,192.8724825,159.3666777
ENSG00000229344,MTCO2P12,2.877573627,4.099105946,3.008824718,4.12416929,1.780652913,2.16224285,2.899545059,2.273045644,2.478608771,2.887575697
ENSG00000240409,MTATP8P1,0.040913369,0.099012221,0.149610069,0.095026942,0.136973301,0.076675278,0.050281128,0.155301255,0.055080195,0.076390891
ENSG00000248527,MTATP6P1,6.614328006,7.861570341,3.972978495,8.913527176,4.363578018,4.707862093,14.83293282,6.932083301,6.848304234,11.29057376
ENSG00000198744,MTCO3P12,627.488342,727.5219969,508.424884,645.2899535,574.6029977,508.4644411,813.5318938,463.2918809,568.7397326,444.91583
ENSG00000224956,---,0.204566846,0.297036663,0.049870023,0.057016165,0.215243759,0.291366058,0.08380188,0.183537847,0.091800325,0
ENSG00000235373,---,0.068188949,0,0.116363387,0,0,0.076675278,0,0.268247623,0,0.229172674
ENSG00000228327,---,0,0,0,0,0,0.046005167,0,0.240011031,0,0.106947248
ENSG00000237491,LINC01409,0.122740107,0.099012221,0.116363387,0.095026942,0,0.168685612,0.08380188,0.042354888,0.091800325,0
ENSG00000230092,---,0,0.178221998,0.083116705,0.209059273,0,0.168685612,0.217884889,0.127064663,0.091800325,0.106947248
ENSG00000240453,---,0,0.099012221,0.083116705,0.095026942,0,0,0.217884889,0.127064663,0.091800325,0.076390891
ENSG00000225880,LINC00115,0.668251695,0.693085546,0.748050344,0.095026942,1.076218794,0.996778619,0.284926393,1.623604032,0.128520455,0.076390891
ENSG00000228794,LINC01128,10.24198007,11.82205918,14.37918995,6.214762018,16.49549896,14.12358628,9.201446459,28.30718334,5.673260076,3.743153681
ENSG00000230699,---,0.286393584,0,0,0.627177818,0.17610853,0.138015501,0,0.042354888,1.193404223,0
ENSG00000187634,SAMD11,0.095464528,0.138617109,0.083116705,0.057016165,0.489190361,0.138015501,0.050281128,0.268247623,0,0
ENSG00000188976,NOC2L,377.4803812,476.1497704,347.4444499,213.0694097,394.5418097,403.6953407,569.3332145,457.3904332,194.8920897,193.1314518
ENSG00000187961,KLHL17,2.795746889,3.346613067,1.911684213,1.007285587,2.524222261,2.806315189,2.866024307,2.442465196,0.495721754,1.390314224
ENSG00000187583,PLEKHN1,0.040913369,0.336641551,0.182856751,0.095026942,0.332649445,0.383376392,0,0.268247623,0,0.53473624
ENSG00000272512,---,0,0.059407333,0.149610069,0,0.058702843,0.444716615,0,0.38119399,0,0
ENSG00000188290,HES4,0.777354013,0.930714877,0.980777118,0,0.763136963,0.874098174,0,1.115345378,0,0
