,sample_name,dose,timepoint,drug,viability
1,SUDHL4_n1,d1,48h,5Aza2d,1.64180672268908
2,SUDHL4_n1,d2,48h,5Aza2d,1.6218487394958
3,SUDHL4_n1,d3,48h,5Aza2d,1.58350840336134
4,SUDHL4_n1,d4,48h,5Aza2d,1.52888655462185
5,SUDHL4_n1,d5,48h,5Aza2d,1.38182773109244
6,SUDHL4_n1,d6,48h,5Aza2d,1.34453781512605
7,SUDHL4_n1,d7,48h,5Aza2d,1.03361344537815
8,SUDHL4_n1,d8,48h,5Aza2d,0.878676470588235
9,SUDHL4_n1,d9,48h,5Aza2d,0.646533613445378
10,SUDHL4_n1,d10,48h,5Aza2d,0.492647058823529
11,SUDHL4_n2,d1,48h,5Aza2d,1.25219298245614
12,SUDHL4_n2,d2,48h,5Aza2d,1.41315789473684
13,SUDHL4_n2,d3,48h,5Aza2d,1.37719298245614
14,SUDHL4_n2,d4,48h,5Aza2d,1.36885964912281
15,SUDHL4_n2,d5,48h,5Aza2d,1.30526315789474
16,SUDHL4_n2,d6,48h,5Aza2d,1.21842105263158
17,SUDHL4_n2,d7,48h,5Aza2d,1.0530701754386
18,SUDHL4_n2,d8,48h,5Aza2d,0.868421052631579
19,SUDHL4_n2,d9,48h,5Aza2d,0.63640350877193
20,SUDHL4_n2,d10,48h,5Aza2d,0.564035087719298
21,K562_n1,d1,48h,5Aza2d,1.11517761033369
22,K562_n1,d2,48h,5Aza2d,1.1437518348175
23,K562_n1,d3,48h,5Aza2d,1.09355122810451
24,K562_n1,d4,48h,5Aza2d,0.976612192973872
25,K562_n1,d5,48h,5Aza2d,0.898522360309228
26,K562_n1,d6,48h,5Aza2d,0.892846658185733
27,K562_n1,d7,48h,5Aza2d,0.80741755553381
28,K562_n1,d8,48h,5Aza2d,0.718269889421665
29,K562_n1,d9,48h,5Aza2d,0.602113709756336
30,K562_n1,d10,48h,5Aza2d,0.552989529308151
31,K562_n2,d1,48h,5Aza2d,1.07399661388308
32,K562_n2,d2,48h,5Aza2d,1.05348072901105
33,K562_n2,d3,48h,5Aza2d,1.04561298675431
34,K562_n2,d4,48h,5Aza2d,0.937257245294293
35,K562_n2,d5,48h,5Aza2d,0.90010955084155
36,K562_n2,d6,48h,5Aza2d,0.874614082262723
37,K562_n2,d7,48h,5Aza2d,0.808783985658799
38,K562_n2,d8,48h,5Aza2d,0.710287819938253
39,K562_n2,d9,48h,5Aza2d,0.615277362812469
40,K562_n2,d10,48h,5Aza2d,0.583607210437207
41,HL60_n1,d1,48h,5Aza2d,1.42783505154639
42,HL60_n1,d2,48h,5Aza2d,1.50343642611684
43,HL60_n1,d3,48h,5Aza2d,1.51890034364261
44,HL60_n1,d4,48h,5Aza2d,1.41752577319588
45,HL60_n1,d5,48h,5Aza2d,1.19931271477663
46,HL60_n1,d6,48h,5Aza2d,1.20618556701031
47,HL60_n1,d7,48h,5Aza2d,1.08591065292096
48,HL60_n1,d8,48h,5Aza2d,0.800687285223368
49,HL60_n1,d9,48h,5Aza2d,0.597938144329897
50,HL60_n1,d10,48h,5Aza2d,0.512027491408935
51,HL60_n2,d1,48h,5Aza2d,1.21535893155259
52,HL60_n2,d2,48h,5Aza2d,1.20701168614357
53,HL60_n2,d3,48h,5Aza2d,1.19866444073456
54,HL60_n2,d4,48h,5Aza2d,1.11686143572621
55,HL60_n2,d5,48h,5Aza2d,1.05843071786311
56,HL60_n2,d6,48h,5Aza2d,1.0550918196995
57,HL60_n2,d7,48h,5Aza2d,0.879799666110184
58,HL60_n2,d8,48h,5Aza2d,0.712854757929883
59,HL60_n2,d9,48h,5Aza2d,0.525876460767947
60,HL60_n2,d10,48h,5Aza2d,0.398998330550918
61,THP1_n2,d1,48h,5Aza2d,1.08679883945841
62,THP1_n2,d2,48h,5Aza2d,1.11097678916828
63,THP1_n2,d3,48h,5Aza2d,1.13805609284333
64,THP1_n2,d4,48h,5Aza2d,1.08776595744681
65,THP1_n2,d5,48h,5Aza2d,1.06794003868472
66,THP1_n2,d6,48h,5Aza2d,0.954303675048356
67,THP1_n2,d7,48h,5Aza2d,0.913684719535783
68,THP1_n2,d8,48h,5Aza2d,0.793278529980658
69,THP1_n2,d9,48h,5Aza2d,0.796663442940039
70,THP1_n2,d10,48h,5Aza2d,0.808027079303675
71,THP1_n1,d1,48h,5Aza2d,1.10421657882127
72,THP1_n1,d2,48h,5Aza2d,1.16195495927168
73,THP1_n1,d3,48h,5Aza2d,1.09942501197892
74,THP1_n1,d4,48h,5Aza2d,1.0790608528989
75,THP1_n1,d5,48h,5Aza2d,1.01461427886919
76,THP1_n1,d6,48h,5Aza2d,0.918303785337805
77,THP1_n1,d7,48h,5Aza2d,0.864159080019166
78,THP1_n1,d8,48h,5Aza2d,0.784379492093915
79,THP1_n1,d9,48h,5Aza2d,0.792285577383804
80,THP1_n1,d10,48h,5Aza2d,0.798754192620987
81,BULK1_n1,d1,48h,5Aza2d,1.16199095022624
82,BULK1_n1,d2,48h,5Aza2d,1.21990950226244
83,BULK1_n1,d3,48h,5Aza2d,1.10980392156863
84,BULK1_n1,d4,48h,5Aza2d,1.06153846153846
85,BULK1_n1,d5,48h,5Aza2d,1.07269984917044
86,BULK1_n1,d6,48h,5Aza2d,0.969834087481146
87,BULK1_n1,d7,48h,5Aza2d,0.835897435897436
88,BULK1_n1,d8,48h,5Aza2d,0.760180995475113
89,BULK1_n1,d9,48h,5Aza2d,0.723378582202112
90,BULK1_n1,d10,48h,5Aza2d,0.648868778280543
91,BULK1_n2,d1,48h,5Aza2d,1.09424572317263
92,BULK1_n2,d2,48h,5Aza2d,1.13623639191291
93,BULK1_n2,d3,48h,5Aza2d,1.07153965785381
94,BULK1_n2,d4,48h,5Aza2d,1.049766718507
95,BULK1_n2,d5,48h,5Aza2d,1.01150855365474
96,BULK1_n2,d6,48h,5Aza2d,0.951477449455676
97,BULK1_n2,d7,48h,5Aza2d,0.802799377916019
98,BULK1_n2,d8,48h,5Aza2d,0.788180404354588
99,BULK1_n2,d9,48h,5Aza2d,0.704821150855365
100,BULK1_n2,d10,48h,5Aza2d,0.676205287713841
101,BULK2_n1,d1,48h,5Aza2d,1.06913674560733
102,BULK2_n1,d2,48h,5Aza2d,1.08632543926662
103,BULK2_n1,d3,48h,5Aza2d,1.00802139037433
104,BULK2_n1,d4,48h,5Aza2d,0.972116119174943
105,BULK2_n1,d5,48h,5Aza2d,0.865928189457601
106,BULK2_n1,d6,48h,5Aza2d,0.885790679908327
107,BULK2_n1,d7,48h,5Aza2d,0.855996944232238
108,BULK2_n1,d8,48h,5Aza2d,0.705882352941177
109,BULK2_n1,d9,48h,5Aza2d,0.669213139801375
110,BULK2_n1,d10,48h,5Aza2d,0.673414820473644
111,BULK2_n2,d1,48h,5Aza2d,1.068669527897
112,BULK2_n2,d2,48h,5Aza2d,1.08941344778255
113,BULK2_n2,d3,48h,5Aza2d,1.04041487839771
114,BULK2_n2,d4,48h,5Aza2d,1.0035765379113
115,BULK2_n2,d5,48h,5Aza2d,0.986409155937053
116,BULK2_n2,d6,48h,5Aza2d,0.883404864091559
117,BULK2_n2,d7,48h,5Aza2d,0.858369098712446
118,BULK2_n2,d8,48h,5Aza2d,0.747496423462089
119,BULK2_n2,d9,48h,5Aza2d,0.645922746781116
120,BULK2_n2,d10,48h,5Aza2d,0.603719599427754
121,BULK3_n1,d1,48h,5Aza2d,1.05739130434783
122,BULK3_n1,d2,48h,5Aza2d,1.12386473429952
123,BULK3_n1,d3,48h,5Aza2d,1.02376811594203
124,BULK3_n1,d4,48h,5Aza2d,0.993236714975845
125,BULK3_n1,d5,48h,5Aza2d,0.925217391304348
126,BULK3_n1,d6,48h,5Aza2d,0.842898550724638
127,BULK3_n1,d7,48h,5Aza2d,0.80463768115942
128,BULK3_n1,d8,48h,5Aza2d,0.736618357487923
129,BULK3_n1,d9,48h,5Aza2d,0.669951690821256
130,BULK3_n1,d10,48h,5Aza2d,0.613526570048309
131,BULK3_n2,d1,48h,5Aza2d,1.08349439505218
132,BULK3_n2,d2,48h,5Aza2d,1.09431774255895
133,BULK3_n2,d3,48h,5Aza2d,1.06667955160417
134,BULK3_n2,d4,48h,5Aza2d,1.00270583687669
135,BULK3_n2,d5,48h,5Aza2d,0.932933900270584
136,BULK3_n2,d6,48h,5Aza2d,0.877077696173174
137,BULK3_n2,d7,48h,5Aza2d,0.82759953614225
138,BULK3_n2,d8,48h,5Aza2d,0.707769617317356
139,BULK3_n2,d9,48h,5Aza2d,0.678391959798995
140,BULK3_n2,d10,48h,5Aza2d,0.646695013529184
141,BULK4_n1,d1,48h,5Aza2d,1.08565621370499
142,BULK4_n1,d2,48h,5Aza2d,1.16463414634146
143,BULK4_n1,d3,48h,5Aza2d,1.13821138211382
144,BULK4_n1,d4,48h,5Aza2d,1.06329849012776
145,BULK4_n1,d5,48h,5Aza2d,1.02206736353078
146,BULK4_n1,d6,48h,5Aza2d,0.969512195121951
147,BULK4_n1,d7,48h,5Aza2d,0.801974448315912
148,BULK4_n1,d8,48h,5Aza2d,0.747677119628339
149,BULK4_n1,d9,48h,5Aza2d,0.643728222996516
150,BULK4_n1,d10,48h,5Aza2d,0.588850174216028
151,BULK4_n2,d1,48h,5Aza2d,0.922210300429185
152,BULK4_n2,d2,48h,5Aza2d,0.975321888412017
153,BULK4_n2,d3,48h,5Aza2d,1.0005364806867
154,BULK4_n2,d4,48h,5Aza2d,0.957081545064378
155,BULK4_n2,d5,48h,5Aza2d,0.94206008583691
156,BULK4_n2,d6,48h,5Aza2d,0.873390557939914
157,BULK4_n2,d7,48h,5Aza2d,0.750536480686695
158,BULK4_n2,d8,48h,5Aza2d,0.703594420600858
159,BULK4_n2,d9,48h,5Aza2d,0.593884120171674
160,BULK4_n2,d10,48h,5Aza2d,0.568401287553648
161,BULK5_n1,d1,48h,5Aza2d,1.07771463676855
162,BULK5_n1,d2,48h,5Aza2d,1.06266318537859
163,BULK5_n1,d3,48h,5Aza2d,1.03901090462295
164,BULK5_n1,d4,48h,5Aza2d,0.988941790815543
165,BULK5_n1,d5,48h,5Aza2d,0.931193365074489
166,BULK5_n1,d6,48h,5Aza2d,0.806634925510674
167,BULK5_n1,d7,48h,5Aza2d,0.849331899861772
168,BULK5_n1,d8,48h,5Aza2d,0.784979265857779
169,BULK5_n1,d9,48h,5Aza2d,0.74120718783597
170,BULK5_n1,d10,48h,5Aza2d,0.688373521732453
171,BULK5_n2,d1,48h,5Aza2d,1.06172839506173
172,BULK5_n2,d2,48h,5Aza2d,1.07249129471352
173,BULK5_n2,d3,48h,5Aza2d,1.01123773345996
174,BULK5_n2,d4,48h,5Aza2d,0.993827160493827
175,BULK5_n2,d5,48h,5Aza2d,0.862931307375752
176,BULK5_n2,d6,48h,5Aza2d,0.803577081354859
177,BULK5_n2,d7,48h,5Aza2d,0.821937321937322
178,BULK5_n2,d8,48h,5Aza2d,0.781734726179171
179,BULK5_n2,d9,48h,5Aza2d,0.698797087685977
180,BULK5_n2,d10,48h,5Aza2d,0.618866729977841
181,BULK6_n1,d1,48h,5Aza2d,1.10583244962884
182,BULK6_n1,d2,48h,5Aza2d,1.21336161187699
183,BULK6_n1,d3,48h,5Aza2d,1.1287380699894
184,BULK6_n1,d4,48h,5Aza2d,1.07274655355249
185,BULK6_n1,d5,48h,5Aza2d,0.939130434782609
186,BULK6_n1,d6,48h,5Aza2d,0.921102863202545
187,BULK6_n1,d7,48h,5Aza2d,0.874019088016967
188,BULK6_n1,d8,48h,5Aza2d,0.751643690349947
189,BULK6_n1,d9,48h,5Aza2d,0.746765641569459
