,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.0652528548124,0.973355084284937,0.841761827079935,0.839042958129418,0.803153887982599,0.811310494834149,0.79499728113105,0.741707449700924,0.684611201740076,0
SUDHL4_n2,0.805542935029532,0.755111313039527,0.729213993639255,0.743298500681508,0.69922762380736,0.752385279418446,0.730122671512949,0.724216265333939,0.676056338028169,0
K562_n1,0.728695652173913,0.6143961352657,0.56695652173913,0.507246376811594,0.522705314009662,0.525314009661836,0.505700483091787,0.441932367149758,0.422028985507246,0.09256038647343
K562_n2,0.738366480015447,0.60928750724078,0.564684301988801,0.538714037458969,0.51293686039776,0.529059664027805,0.503475574435219,0.466306236725237,0.429136899015254,0.113921606487739
HL60_n1,0.855287569573284,0.797773654916512,0.801484230055659,0.831168831168831,0.827458256029685,0.844155844155844,0.808905380333952,0.684601113172542,0.528756957328386,0
HL60_n2,0.828947368421053,0.903508771929825,0.800438596491228,0.796052631578947,0.894736842105263,0.835526315789474,0.855263157894737,0.673245614035088,0.550438596491228,0
THP1_n2,0.944926817166956,0.831307367898784,0.740759116844456,0.728851401637311,0.699578268419747,0.724137931034483,0.699330191019598,0.732572562639544,0.729595633837757,0.218556189531134
THP1_n1,1.00888324873096,0.83248730964467,0.795177664974619,0.77005076142132,0.749746192893401,0.744670050761421,0.744162436548223,0.74010152284264,0.764720812182741,0.220304568527919
BULK1_n1,0.853632853632854,0.751491751491752,0.729378729378729,0.70972270972271,0.732537732537733,0.704808704808705,0.722358722358722,0.661986661986662,0.619164619164619,0.113022113022113
BULK1_n2,0.75071000315557,0.707163142947302,0.633638371726097,0.622909435153045,0.581255916692963,0.638687283054591,0.609024928999684,0.572420321868097,0.58378037235721,0.118333859261597
BULK2_n1,0.935591802593057,0.741530740276035,0.639063153492263,0.639063153492263,0.620242576327896,0.615641990798829,0.603931409452112,0.616060225846926,0.603931409452112,0.0225846925972397
BULK2_n2,0.872670807453416,0.718944099378882,0.652950310559006,0.617236024844721,0.645186335403727,0.626164596273292,0.594332298136646,0.566770186335404,0.553183229813665,0.115295031055901
BULK3_n1,0.815649081209247,0.667061845485082,0.584469472436277,0.584469472436277,0.571033392610156,0.580715273661332,0.562339458605019,0.52499506026477,0.533491404860699,0.140288480537443
BULK3_n2,0.810652046211083,0.690620716663403,0.619345995692187,0.59545721558645,0.588016448012532,0.542980223223027,0.582142157822596,0.525161542980223,0.52633640101821,0.221460740160564
BULK4_n1,0.73962148962149,0.70970695970696,0.65995115995116,0.636141636141636,0.681318681318681,0.677960927960928,0.641025641025641,0.660866910866911,0.627289377289377,0.0656288156288156
BULK4_n2,0.724737631184408,0.67256371814093,0.635982008995502,0.644677661169415,0.639880059970015,0.643178410794603,0.635382308845577,0.632683658170915,0.618290854572714,0.0476761619190405
BULK5_n1,0.854939284542173,0.665736790285527,0.639645553002954,0.614702986544142,0.58697079094191,0.581227436823105,0.596324253363965,0.574827699376436,0.527568099770266,0.195766327535281
BULK5_n2,0.78257355318461,0.640640155189137,0.540252182347236,0.515680569026835,0.565955383123181,0.533785968315551,0.557225994180407,0.539282250242483,0.503556417717426,0.132719043000323
BULK6_n1,0.793657595886008,0.714591814870366,0.646882365545318,0.625669595028926,0.622669809299336,0.576387400899936,0.595886008142276,0.59802871223484,0.517248767945147,0.24726805228198
BULK6_n2,0.723601857460125,0.605087825560267,0.556026650514839,0.530183727034121,0.522915404805169,0.540076721179083,0.513830002018978,0.497274379164143,0.448011306279023,0.125984251968504
