,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
SUDHL4_n1,1.84413580246914,2.03034979423868,1.88117283950617,1.79475308641975,1.98251028806584,1.72376543209877,0.839506172839506,0.493827160493827,0.324074074074074,0.287551440329218
SUDHL4_n2,1.48319327731092,1.61806722689076,1.63403361344538,1.58319327731092,1.63991596638655,1.49201680672269,0.761764705882353,0.486134453781513,0.24453781512605,0.247899159663866
K562_n1,1.05278574844572,1.06527977044476,1.07633907221425,1.07884983261597,1.01195600191296,0.891021042563367,0.621532759445242,0.460007173601148,0.378646580583453,0.334588713534194
K562_n2,1.07849481694529,1.05308886092636,1.08592486068668,1.08460662711966,1.06093834262089,0.911738270717239,0.584336988435496,0.462819821439271,0.357421055785248,0.318173647312601
HL60_n1,1.47810858143608,1.43782837127846,1.33625218914186,1.21891418563923,0.985989492119089,0.563922942206655,0,0,0,0
HL60_n2,0.902255639097744,0.936842105263158,0.899248120300752,0.822556390977444,0.815037593984962,0.464661654135338,0,0,0,0
THP1_n2,1.10421836228288,1.16422287390029,1.08143469433792,1.13467177983307,1.21745995939544,1.21227159936837,1.20933904804873,1.07353936386194,0.559214978569817,0.165801939995488
THP1_n1,1.16406619385343,1.17635933806147,1.23522458628842,1.26004728132388,1.20354609929078,1.28203309692671,1.2290780141844,1.04633569739953,0.604728132387707,0.181796690307329
BULK1_n1,1.34667852906287,1.46915776986951,1.41310794780546,1.53884934756821,1.47657176749703,1.27224199288256,0.926453143534994,0.635231316725979,0.330367734282325,0.207591933570581
BULK1_n2,1.19341760076318,1.23992368232769,1.34963033627474,1.33961364178393,1.30479370379203,1.14333412830909,0.800620081087527,0.626281898402099,0.317195325542571,0.202003338898164
BULK2_n1,1.0620218579235,1.19644808743169,1.18415300546448,1.26775956284153,1.18661202185792,0.970218579234973,0.603005464480874,0.473224043715847,0.267486338797814,0.178142076502732
BULK2_n2,1.11278195488722,1.24617098301309,1.17126148705096,1.30966304650515,1.1453634085213,0.944026733500418,0.598162071846282,0.434976329713172,0.251740462266778,0.162628794207742
BULK3_n1,1.05108267716535,1.08641732283465,1.17027559055118,1.14675196850394,1.10049212598425,0.84242125984252,0.551870078740157,0.379035433070866,0.228248031496063,0.174803149606299
BULK3_n2,1.11357149886822,1.10058065151068,1.14929632910147,1.11445723846078,1.02499753961224,0.827280779450841,0.564314535970869,0.367680346422596,0.252731030410393,0.186202145458124
BULK4_n1,1.4089709762533,1.32340746324915,1.35808518658123,1.2826988315115,1.32152280437241,1.17791179796457,1.06143987938183,0.752355823595929,0.34640030154542,0.18318884281945
BULK4_n2,1.19040590405904,1.22361623616236,1.33579335793358,1.22841328413284,1.2549815498155,1.25313653136531,0.974538745387454,0.712546125461255,0.315867158671587,0.17859778597786
BULK5_n1,1.02249572092265,1.00749857364088,1.02771211997718,1.07555628005542,1.01793137174994,0.793218681229114,0.603309153150216,0.409487325780422,0.321623604205722,0.217377129350395
BULK5_n2,1.04489281210593,1.0526271542665,1.1016393442623,1.1182009247583,1.02547288776797,0.833795712484237,0.591761244220261,0.441530054644809,0.32568306010929,0.224800336275746
BULK6_n1,1.07796984185362,1.06607821503004,1.09905602549957,1.10322422459237,1.05651587593478,0.868579134485718,0.633198479833272,0.452739977933064,0.31898982469045,0.23599362510727
BULK6_n2,0.953468385512584,0.951995089011664,1.01019030079804,1.08250460405157,1.03388581952118,0.824800491098834,0.559361571516268,0.431062001227747,0.294782074892572,0.222590546347452
