,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
THP1_n1,1.01894544624515,1.08342844099521,0.853229856197215,0.820474777448071,0.737388724035608,0.69892718557407,0.736133302898882,0.668568819904132,0.664117781328464,0.493722894316366
THP1_n2,1.08383233532934,1.15556121798955,0.990699452159511,0.885845330615365,0.63014396738438,0.430882915021022,0.322461460058606,0.203465409606319,0.227162695884826,0.20983564785323
K562_n1,1.02060032501673,1.06390402447185,0.568874868559411,0.0292993021699646,0,0,0,0,0,0
K562_n2,1.01877846110511,1.0398572836956,0.557250833294212,0.0283554762687198,0,0,0,0,0,0
HL60_n1,1.48521017125065,1.40736896730669,1.38609237156201,1.25272444213804,1.55682407887909,1.22677737415672,0.893098079916969,0.575505967825636,0.884276076803321,0.852620653866113
HL60_n2,1.25,1.30509355509356,1.39293139293139,1.26611226611227,1.20945945945946,1.12733887733888,0.852390852390852,0.791060291060291,0.873700623700624,0.937110187110187
SUDHL4_n2,1.09801797898841,1.11892126069533,1.12292862558215,1.15336293729015,1.14870572944872,1.08101375500921,0.883786418282248,0.8417632405502,1.03866565579985,1.03173399761724
SUDHL4_n1,1.11143070203473,1.09928624693725,1.12368168744008,1.16714605305209,1.13976776392884,1.12527964205817,0.906359859379994,0.899968040907638,1.08927239799723,1.05017577500799
BULK1_n1,1.15227599425012,1.06248203162434,0.684331576425491,0.586296118830858,0.551317680881648,0.53914710110206,0.520555821753714,0.48538572113081,0.483277431720173,0.471681839961667
BULK1_n2,1.12062588904694,0.98217164532954,0.675296348980559,0.601043148411569,0.565670934091987,0.539497392128971,0.461545756282598,0.464011379800853,0.47529634898056,0.444381223328592
BULK2_n1,1.01454102355808,0.960926076360682,0.473842404549147,0.402355808285946,0.38302193338749,0.363525588952071,0.298619008935825,0.326401299756296,0.337205523964257,0.314053614947197
BULK2_n2,1.19713168187744,1.02433724467623,0.548022598870056,0.379313342025206,0.387918296392873,0.370795306388527,0.311169056931769,0.344632768361582,0.344980443285528,0.330551933941764
BULK3_n1,1.00709352249393,0.951745379876797,0.483852902744073,0.307541534440918,0.292327795407878,0.275107336195632,0.24001306701512,0.256580175471346,0.277300728019414,0.260873623296621
BULK3_n2,1.04578711352372,0.98092990323342,0.546565966485721,0.309558649988199,0.279679018173236,0.282700023601605,0.216049091338211,0.245692707104083,0.260514514987019,0.244937455746991
BULK4_n1,1.06740702479339,1.02388946280992,0.969137396694215,0.932076446280992,0.825929752066116,0.699121900826446,0.637267561983471,0.648243801652893,0.649664256198347,0.679235537190083
BULK4_n2,1.00101342791994,0.974157588041551,0.95300228021282,0.875475044337471,0.796047631112237,0.729794780846212,0.685964023308842,0.652520901950849,0.689130985558652,0.673676209779579
BULK5_n1,1.01797526603394,0.958201514715751,0.570558910938549,0.398955037867894,0.38447895695523,0.35893011216566,0.292589396989742,0.285830696960982,0.343782954654396,0.329450675870003
BULK5_n2,0.980210526315789,0.931228070175439,0.559766081871345,0.376842105263158,0.376327485380117,0.350222222222222,0.298760233918129,0.305684210526316,0.322853801169591,0.301426900584795
BULK6_n1,1.00983179912285,0.951515735698106,0.445563641621283,0.331437659646248,0.339919996144392,0.309508891994795,0.258855848474625,0.289315147717962,0.30907513615114,0.282326859125741
BULK6_n2,0.962991334322784,0.877962368937617,0.453296308708766,0.330013884234213,0.326901900703787,0.306841576099966,0.258917029731412,0.253602719394839,0.305931919375688,0.248336285727965
